Code,Description
9102,37175662361200707/23                    
2040,The Square Breakfast Package            
9104,559601002692990910/20                   
9100,471565100584362603/22                   
9003,"InterGlobe Aviation Limited(""IndiGo"")Cit"
9004,Deposit Transfer at C/I                 
9000,Cash                                    
8000,Paid Out                                
8100,Balance Transfer Credit                 
1018,Round Off                               
9106,3608868002418208/20                     
9111,607093616421823911/25                   
9001,Check                                   
9218,TDS Receivable - Room                   
7318,"CGST - 14 % MB, S Beve                  "
7319,"SGST - 14 % MB, Soft Bev                "
7320,CESS -12% Minibar                       
9162,Micros Visa                             
7652,F&B Tips                                
9160,Micros Cash                             
9163,Micros Amex                             
9166,Micros Euro/Master Card                 
